iter	Passed	Remaining
0	6	598
1	10	509
2	14	476
3	23	552
4	29	566
5	36	577
6	42	564
7	47	549
8	54	549
9	60	543
10	66	536
11	71	521
12	80	537
13	88	542
14	98	557
15	103	543
16	110	538
17	114	521
18	118	504
19	121	487
20	125	472
21	129	458
22	133	447
23	137	436
24	142	427
25	147	418
26	150	408
27	154	397
28	158	388
29	163	380
30	166	371
31	171	363
32	175	355
33	179	348
34	182	339
35	186	332
36	190	324
37	194	317
38	198	310
39	204	306
40	208	299
41	212	293
42	215	286
43	220	280
44	224	274
45	229	269
46	233	263
47	238	258
48	242	251
49	246	246
50	250	241
51	254	235
52	260	230
53	264	225
54	268	219
55	273	214
56	279	210
57	287	207
58	293	204
59	299	199
60	304	194
61	311	191
62	316	185
63	320	180
64	325	175
65	329	169
66	332	163
67	336	158
68	342	153
69	347	148
70	351	143
71	355	138
72	360	133
73	364	128
74	370	123
75	375	118
76	379	113
77	383	108
78	389	103
79	394	98
80	397	93
81	402	88
82	406	83
83	410	78
84	413	72
85	419	68
86	423	63
87	428	58
88	433	53
89	438	48
90	442	43
91	446	38
92	451	33
93	455	29
94	460	24
95	464	19
96	469	14
97	496	10
98	508	5
99	515	0
